Video_ID	Category	Rating	Length_Of_Video	No_of_views	Uploader	No_Of_Rating
QuRYeRnAuXM	Pets & Animals	4.96	252	1075	EvilSquirrelPictures	46
3TYqkBJ9YRk	Comedy	5	169	228	hggh22	5
rSJ8QZWBegU	Entertainment	4.31	95	356	TimeGem	13
nRcovJn9xHg	Entertainment	2.23	118	1115	wooochacha	57
UEvVksP91kg	Entertainment	2.67	83	281	johnx113	9
sVkuOk4jmCo	People & Blogs	3.67	49	1196	marcosoycadiz	6
ZTopArY7Nbg	Entertainment	0	145	11	TroyChannel	0
0RViGi2Rne8	Entertainment	2.31	9	490	OmnipotentSI	26
HT_QlOJbDpg	Comedy	2.09	14	1349	dumbasstheredneck	22
ShhClb6J-NA	Entertainment	0	61	29	thecrashguy	0
g9e1alirMhc	Comedy	4.65	152	483053	iamdanielisaac	2689
YZev1imoxX8	Entertainment	5	253	63	threefirstnames	3
I4yKEK9o8gA	News & Politics	4.39	173	106929	djlogitek	1010
1GKaVzNDbuI	Comedy	4.5	176	2464486	fatvids	13342
yuZhwV24PmM	News & Politics	4.71	213	46183	weneedhelp	280
zQ83d_D2MGs	Comedy	1.57	14	1550	dumbasstheredneck	14
DomumdGQSg8	Comedy	4.8	224	392908	imgrown18	1261
pFUYi7dp1WU	Comedy	4.07	200	110272	StanleyJenkins	1011
2l6vwAIAqNU	Film & Animation	4.07	294	71966	makemagazine	260
hiSmlmXp-aU	Entertainment	4.43	168	653840	bravenewfilms	198
dh6dF1XY3uI	Entertainment	5	249	146	Ffllaanndd	1
_a0gQFOJYWM	Film & Animation	4.64	369	728	diamondfan1910	11
UzPldH0vuHY	Entertainment	4	424	229	Ffllaanndd	4
h9gRdAmGFnM	Entertainment	4.33	410	220	LinIsKorean	6
rKWq0l6YiT0	News & Politics	4.81	37	4446	ratfink43	21
M67aD5lLC2M	Entertainment	4.2	477	379	zeldamastertimmy2	10
gP0jnBrVEpI	Film & Animation	5	107	161	NoodleStroodel	1
